TIPO,NOME,DESCRIÇÃO,VALOR,IMAGEM,CODIGO PDV,DISPONIBILIDADE DO ITEM,TIPO COMPLEMENTO,QTDE MINIMA,QTDE MAXIMA,CALCULO DOS COMPLE
MENTOS
Categoria,Promoção: Pizza Grande  + Broto + Guaraná 1.5L - Com Entrega Grátis !!
Produto,Garanta Sua Pizza + 1 Broto + Guaraná !!,"Pizza + Um Brotinho a Sua Escolha + Guaraná 1,5L !!"," R$ 69,90",https://clie
nt-assets.anota.ai/produtos/647b606752f72300121a3d4c/648e1dc76e300a001cb43670/648e1dc76e300a001cb43671-1691103536428blob_600   
Opção," Borda de Catupiry ",," R$ 9,99",,,,,,
Opção," Borda de Cheddar ",,0,,,,,,
Opção," Borda de Mussarela ",,0,,,,,,
Categoria,Os Combos Smart
Produto,Combo Pizza Grande + 5 Esfihas + Bebida,"1 Pizza Salgada ou Doce + 5 Deliciosas Esfihas ( Carne, Queijo ou Calabresa )+
 1 Refrigerante 2l (Guaraná, Guaraná Zero, Pepsi)"," R$ 79,90",https://client-assets.anota.ai/produtos/647b606752f72300121a3d4c
/647b606880e2a000122420f1/647b606880e2a00012242115blob_600
Complemento,Qual sabor da sua pizza?,,,,,,Escolha 1 item,,
Opção," Pizza 2 Queijos ",,0,,,,,,Máximo 1
Opção," Pizza  3 Queijos ",,0,,,,,,Máximo 1
Opção," Pizza  4 Queijos ",,0,,,,,,Máximo 1
Opção," Pizza 5 Queijos ",,0,,,,,,Máximo 1
Opção," Pizza De Catupiry ",,0,,,,,,Máximo 1
Opção," Pizza  Marguerita ",,0,,,,,,Máximo 1
Opção," Pizza De Mussarela ",,0,,,,,,Máximo 1
Opção," Pizza Napolitana ",,0,,,,,,Máximo 1
Opção," Pizza De Alho Frito ",,0,,,,,,Máximo 1
Opção," Pizza De Brócolis ",,0,,,,,,Máximo 1
Opção," Pizza De Milho ",,0,,,,,,Máximo 1
Opção," Pizza De Palmito ",,0,,,,,,Máximo 1
Opção," Pizza Pomodoro ",,0,,,,,,Máximo 1
Opção," Pizza De Rúcula ",,0,,,,,,Máximo 1
Opção," Pizza De Champignon ",,0,,,,,,Máximo 1
Opção," Pizza De Tomate Seco ",,0,,,,,,Máximo 1
Opção," Pizza De Bacon ",,0,,,,,,Máximo 1
Opção," Pizza De Lombo Canadense ",,0,,,,,,Máximo 1
Opção," Pizza Especial ",,0,,,,,,Máximo 1
Opção," Pizza Baiana ",,0,,,,,,Máximo 1
Opção," Pizza De Calabresa ",,0,,,,,,Máximo 1
Opção," Pizza Toscana ",,0,,,,,,Máximo 1
Opção," Pizza Bauru ",,0,,,,,,Máximo 1
Opção," Pizza Portuguesa ",,0,,,,,,Máximo 1
Opção," Pizza Fofoca ",,0,,,,,,
Opção," Pizza Duvidosa ",,0,,,,,,
Opção," Pizza Radical ",,0,,,,,,
Opção," Pizza Da Roça ",,0,,,,,,
Opção," Pizza Mineira ",,0,,,,,,
Opção," Pizza De Frango Com Catupiry ",,0,,,,,,
Opção," Smart da Casa ",,0,,,,,,
Opção," Pizza Delícia ",,0,,,,,,
Opção," Pizza De Carne Seca ",,0,,,,,,
Opção," Pizza De Peperoni ",,0,,,,,,
Opção," Pizza De Atum ",,0,,,,,,
Opção," Pizza Mexicana ",,0,,,,,,
Opção," Pizza Caribe ",,0,,,,,,
Opção," Pizza de Brigadeiro ",,0,,,,,,
Opção," Pizza Banana ",,0,,,,,,
Opção," Pizza De Romeu e Julieta ",,0,,,,,,
Opção," Pizza De Prestígio ",,0,,,,,,
Opção," Pizza de Chocolate ",,0,,,,,,
Opção," Pizza ChocoNana ",,0,,,,,,
Opção," Pizza de Confeitos ",,0,,,,,,
Complemento,Que tal deixar ainda mais saborosa?,,,,,,Escolha até 1 item,,
Opção," Borda De Catupiry ",," R$ 9,99",,,,,,
Opção," Borda De Cheddar ",,0,,,,,,Máximo 1
Opção," Borda De Mussarela ",,0,,,,,,Máximo 1
Complemento,Qual sabor da suas esfihas ?,,,,,,Escolha de 1 até 5 itens,,
Opção," Esfiha De Queijo ",,0,,,,,,Máximo 5
Opção," Esfiha De Calabresa ",,0,,,,,,Máximo 5
Opção," Esfiha De Carne ",,0,,,,,,
Complemento,Qual seria sua bebida?,,,,,,Escolha 1 item,,
Opção," Refrigerante Guaraná Antárctica 2 L ",,0,,,,,,Máximo 1
Opção," Refrigerante de Cola Pepsi 2l ",,0,,,,,,Máximo 1
